0  ,  248.677
9.569733  ,  257.7941
11.49852  ,  276.7357
17.28487  ,  284.1237
25.51929  ,  287.5033
35.31157  ,  288.2892
44.73294  ,  290.4113
54.52522  ,  294.4983
62.31454  ,  300
68.62018  ,  298.6639
76.11276  ,  292.5334
81.52819  ,  283.1805
85.45995  ,  265.2607
86.79526  ,  241.9177
86.05341  ,  214.8808
83.90207  ,  178.491
81.67655  ,  144.459
79.1543  ,  112.0776
76.33531  ,  89.44197
75  ,  74.74457
74.18398  ,  65.39167
74.18398  ,  60.59733
8.011869  ,  118.7582
26.11276  ,  124.0241
31.0089  ,  138.4857
44.80712  ,  158.3704
64.54006  ,  167.0946
81.75075  ,  168.2735
95.62315  ,  164.3437
107.27  ,  156.2484
113.4273  ,  142.0225
113.4273  ,  123.7097
109.8665  ,  96.12261
103.3383  ,  68.22112
97.18101  ,  39.76945
91.32047  ,  20.4349
89.16914  ,  7.23081
89.16914  ,  1.964894
90.80119  ,  0
96.2908  ,  0
108.3828  ,  5.030128
124.7774  ,  15.71915
143.2493  ,  30.33796
166.3205  ,  49.12235
192.3591  ,  65.86324
284.7181  ,  217.7102
296.7359  ,  222.3474
297.5519  ,  230.207
296.9585  ,  223.1333
300.0742  ,  203.563
303.4867  ,  175.5829
303.4867  ,  147.0527
300.4451  ,  121.9806
298.9614  ,  99.18785
297.5519  ,  86.29814
296.0683  ,  76.47367
294.4362  ,  68.69269
266.2463  ,  188.7084
295.4006  ,  211.1082
308.5311  ,  234.8441
321.8843  ,  267.4614
335.3857  ,  284.5166
350.4451  ,  291.4331
362.7596  ,  291.4331
373.1454  ,  284.438
383.9021  ,  268.4045
391.6914  ,  246.4763
397.4777  ,  212.2871
400.0742  ,  172.8321
398.9614  ,  129.8402
395.3264  ,  93.76473
387.4629  ,  66.17763
380.638  ,  44.24941
374.4065  ,  27.90149
369.362  ,  18.23421
366.0237  ,  13.12549
363.8724  ,  12.73251
360.3116  ,  16.7409
216.9881  ,  94.23631
219.5104  ,  95.33665
223.9614  ,  104.0608
242.359  ,  114.3568
269.9555  ,  122.688
305.4896  ,  131.8837
343.546  ,  143.2015
383.3086  ,  155.6982
410.1632  ,  166.0728
422.4778  ,  171.6531
425  ,  174.0896
382.6409  ,  210.4794
356.454  ,  212.6015
347.7745  ,  211.1868
340.1335  ,  205.8423
335.8308  ,  197.8255
333.8279  ,  183.3639
